"","Block_Name","Year","Marks1","Marks2","Marks3","Marks4","Marks5","Marks6","Total","Dist_Name","Rural_Urban","No_of_Working_Days","No_of_Acad_Inspection","School_Dev_Grant_Recd","School_Dev_Grant_Expnd","TLM_Grant_Recd","TLM_Grant_Expnd","Tot_Clrooms","Toilet_Girls","Electricity","Library","PlayGround","Male_Tch","Female_Tch","Graduate_Teachers","Tch_with_Prof_Qual","Days_involved_in_non_tch_assgn","Teachers_involved_in_non_tch_assgn","Public","Split"
"1","AFZALPUR",2005,59.4778044299373,36.8648977838895,56.2195715543732,35.527191765049,38.7791878406318,49.7201660855464,276.588819459427,"GULBARGA",0.946428571428571,81.5119047619048,1.14880952380952,2888.27380952381,995.875,5640.19642857143,2242.83928571429,3.91071428571429,1,0.583333333333333,0.851190476190476,0.702380952380952,3.05952380952381,1.49404761904762,72.1190476190476,4.45238095238095,0,0,0.958333333333333,1
"2","AFZALPUR",2006,70.6490493848982,39.7446802301074,49.3320836547864,40.9807053598138,53.2876452894426,67.6042146860944,321.606849677934,"GULBARGA",0.919540229885057,215.413793103448,0.942528735632184,3859.19540229885,2554.21264367816,2256.32183908046,1824.71264367816,4.86781609195402,1,0.448275862068966,0.747126436781609,0.540229885057471,3.45402298850575,1.79310344827586,0.747126436781609,5.24712643678161,0,0,0.948275862068966,1
"3","AFZALPUR",2007,72.8698670049035,40.6628596087737,62.4876166400162,38.9915910298086,57.528260077741,64.5434899868272,337.08368434807,"GULBARGA",0.927374301675978,215.106145251397,0.804469273743017,2895.69273743017,1653.20111731844,2289.38547486034,1894.14525139665,4.94972067039106,1,0.558659217877095,0.715083798882682,0.491620111731844,3.66480446927374,1.78212290502793,0.759776536312849,5.42458100558659,2.17877094972067,0.318435754189944,0.949720670391061,1
"4","AFZALPUR",2008,75.0677913692885,39.8337669274731,60.9055997703063,48.8561937286239,63.0567652016681,67.9173939006755,355.637510898036,"GULBARGA",0.892307692307692,199.54358974359,0.856410256410256,24028.2615384615,13963.2512820513,3177.86666666667,1601.54358974359,6.56923076923077,1,0.738461538461539,0.466666666666667,0.553846153846154,3.8051282051282,1.88717948717949,1.40512820512821,5.26153846153846,20.6769230769231,1.39487179487179,0.902564102564103,1
"5","AFZALPUR",2009,83.175,37.875,51.625,41.85,48.55,62.75,325.8,"GULBARGA",0.898058252427185,226.679611650485,1.8252427184466,21420.2233009709,14026.1116504854,3884.25242718447,1371.67961165049,6.12135922330097,0.475728155339806,0.985436893203884,0.616504854368932,0.558252427184466,3.69902912621359,45.4611650485437,44.9466019417476,48.9708737864078,49.1601941747573,0.631067961165049,0.888349514563107,1
"6","AFZALPUR",2010,73.75,45.475,62.7,57.025,55.125,63.45,357.45,"GULBARGA",0.889400921658986,0,0.585253456221198,8236.08755760369,8017.42396313364,1824.77880184332,1807.94930875576,6.08294930875576,0.52073732718894,0.976958525345622,0.746543778801843,0.594470046082949,3.69585253456221,1.82488479262673,0.253456221198157,0.414746543778802,29.3640552995392,0.359447004608295,0.857142857142857,1
"7","AFZALPUR",2011,67.7674418604651,47.1860465116279,54.2093023255814,53.8139534883721,44.3953488372093,66.046511627907,333.418604651163,"GULBARGA",0.880149812734082,0,0.640449438202247,17099.1685393258,11364.1235955056,2224.06741573034,1510.61797752809,6,0.872659176029963,0.925093632958802,0.955056179775281,0.629213483146067,26.3782771535581,24.4831460674157,24.498127340824,28.1385767790262,22.7153558052434,29040205513.5543,0.823970037453184,1
"8","AFZALPUR",2012,71.5869565217391,44,54.3260869565217,52.9565217391304,45.7608695652174,65.0217391304348,333.54347826087,"GULBARGA",0.867768595041322,0,0.65702479338843,14134.2066115702,9255.9173553719,2488.95041322314,1931.13636363636,5.88429752066116,0.90495867768595,1.3099173553719,0.929752066115702,1.00826446280992,3.40909090909091,1.66115702479339,0.446280991735537,4.81818181818182,0.012396694214876,0.00826446280991736,0.768595041322314,1
"9","AFZALPUR",2013,72.5744680851064,NA,60.9148936170213,51.4893617021277,54.0851063829787,69.9574468085106,361.212765957447,"GULBARGA",0.853754940711462,0,0.802371541501976,7208.69565217391,6104.91699604743,1906.48616600791,1982.60869565217,6.0197628458498,1,0.940711462450593,0.944664031620553,0.561264822134387,3.22134387351779,1.65217391304348,1.22924901185771,4.60474308300395,0.434782608695652,0.0395256916996047,0.743083003952569,1
"10","ALAND",2005,65.4977263592018,36.7579247808258,57.5687182648871,41.0739469157266,41.3907127093689,52.9655401324524,295.254569162463,"GULBARGA",0.929368029739777,105.479553903346,0.936802973977695,2971.34944237918,1551.36059479554,6295.46468401487,2972.69144981413,4.44609665427509,1,0.50185873605948,0.713754646840149,0.66542750929368,2.88475836431227,1.68773234200744,26.4869888475836,4.38289962825279,0,0,0.881040892193309,1
"11","ALAND",2006,71.7384555504053,39.7921075823558,52.5029882717974,49.5575641933597,54.3968340571877,63.8371076525994,331.922733151293,"GULBARGA",0.879858657243816,226.053003533569,0.646643109540636,4294.53356890459,1058.18727915194,1886.925795053,1265.01766784452,4.7243816254417,1,0.395759717314488,0.632508833922262,0.561837455830389,3.14134275618375,1.70671378091873,0.424028268551237,4.84805653710247,2.69611307420495,0.265017667844523,0.879858657243816,1
"12","ALAND",2007,73.1524441085802,40.2076049163976,58.3459303463911,41.8726520402669,57.4396312758558,59.297660291737,330.315922979229,"GULBARGA",0.884105960264901,220.860927152318,0.443708609271523,4049.29139072848,1300.44039735099,2258.09933774834,1602.64900662252,4.70198675496689,1,0.437086092715232,0.605960264900662,0.543046357615894,3.3476821192053,1.77814569536424,0.52317880794702,5.09933774834437,0.0993377483443709,0.0132450331125828,0.864238410596026,1
"13","ALAND",2008,70.4164084372544,42.8944043805391,56.2010414615584,52.7940937107323,60.2174220490639,62.5365006570828,345.059870696231,"GULBARGA",0.845659163987138,211.713826366559,0.903536977491961,8196.81350482315,5539.30546623794,2245.65916398714,1516.72025723473,5.87459807073955,1,0.646302250803859,0.456591639871383,0.591639871382637,3.51446945337621,2.05787781350482,1.09003215434084,5.35691318327974,17.2861736334405,0.980707395498392,0.87459807073955,1
"14","ALAND",2009,78.830985915493,36.9154929577465,48.2253521126761,40.3380281690141,44.0845070422535,58.6760563380282,307.225352112676,"GULBARGA",0.864779874213837,225.943396226415,1.58176100628931,9205.24213836478,5903.24528301887,3221.43081761006,1848.53773584906,5.30503144654088,0.49685534591195,0.971698113207547,0.616352201257862,0.572327044025157,3.56289308176101,8.49685534591195,7.61320754716981,11.7641509433962,2.33018867924528,0.273584905660377,0.867924528301887,1
"15","ALAND",2010,65.5972222222222,40.7638888888889,56.5694444444444,52.0277777777778,48.4583333333333,55.4722222222222,318.861111111111,"GULBARGA",0.869300911854103,0,0.942249240121581,13548.8237082067,9916.00607902736,2136.88145896657,1986.26747720365,5.30091185410334,0.282674772036474,0.963525835866261,0.68693009118541,0.519756838905775,3.45288753799392,2.29483282674772,0.0699088145896656,0.188449848024316,7.48936170212766,0.224924012158055,0.860182370820669,1
